,Rating,Price,Processor,OS,Disk_Drive(SSD_GB),Brand,RAM_Type,RAM_GB,Inches
180,4.2,38705.0,AMD Ryzen 5 Quad Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
181,4.6,85990.0,AMD Ryzen 7 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
182,4.3,37490.0,Intel Core i3 Processor,  Windows 10  ,512,Lenovo,DDR4 ,8,15.6
183,4.2,20990.0,Intel Celeron Quad Core Processor,  Windows 11  ,128,Infinix,LPDDR4X,4,15.6
184,4.6,109990.0,Intel Core i7 Processor,  Windows 11  ,512,MSI,DDR4 ,16,15.6
185,4.7,71990.0,Intel Core i5 Processor,  Windows 11  ,512,ASUS,LPDDR4 ,16,13.3
186,4.2,35590.0,AMD Ryzen 3 Dual Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
187,4.9,150990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
188,4.3,32990.0,Intel Core i3 Processor,  Windows 11  ,512,Infinix,LPDDR4X,8,15.6
189,4.5,43990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 10  ,512,MSI,DDR4 ,8,15.6
190,4.5,73490.0,AMD Ryzen 7 Octa Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
191,4.3,194990.0,AMD Ryzen 9 Octa Core Processor,  Windows 11  ,1000,ASUS,DDR5 ,16,15.6
192,3.9,25990.0,AMD Ryzen 3 Dual Core Processor,  Windows 11  ,256,acer,DDR4 ,8,15.6
193,4.4,122990.0,Intel Core i9 Processor,  Windows 10  ,1000,ASUS,DDR4 ,16,15.6
194,4.3,68990.0,Intel Core i5 Processor,Windows 11  ,512,acer,DDR4 ,16,15.6
195,4.3,59990.0,Intel Core i5 Processor,  Windows 11  ,512,acer,DDR4 ,8,15.6
196,4.2,36990.0,Intel Core i3 Processor,  Windows 11  ,256,Lenovo,DDR4 ,8,15.6
197,4.2,39990.0,Intel Core i3 Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
198,4.4,39990.0,AMD Ryzen 5 Quad Core Processor,  Windows 10  ,512,acer,DDR4 ,8,15.6
199,4.0,37990.0,Intel Core i3 Processor,  Windows 10  ,512,ASUS,DDR4 ,8,15.6
200,4.1,39990.0,Intel Core i5 Processor,Windows 11  ,512,RedmiBook,DDR4 ,8,15.6
201,4.3,196990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR5 ,16,15.6
202,4.0,25950.0,Intel Celeron Dual Core Processor,  Windows 10  ,256,Lenovo,DDR4 ,4,15.6
203,4.2,64999.0,Intel Core i5 Processor,Windows 11  ,512,realme,LPDDR4X,16,15.6
204,4.4,60990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,HP,DDR4 ,8,15.6
205,4.3,36990.0,Intel Core i3 Processor,  Windows 11  ,512,ASUS,DDR4 ,8,15.6
206,4.2,38705.0,AMD Ryzen 5 Quad Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
207,4.6,85990.0,AMD Ryzen 7 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
208,4.6,59990.0,Intel Core i5 Processor,  Windows 11  ,256,SAMSUNG,LPDDR4X,8,15.6
209,4.8,222990.0,Apple M1 Pro Processor,Mac OS  ,512,APPLE,Unified Memory ,16,16.2
210,4.2,35590.0,AMD Ryzen 3 Dual Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
211,4.9,150990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
212,4.3,235283.0,Intel Core i9 Processor,  Windows 11  ,1000,DELL,DDR5 ,16,15.6
213,4.0,38990.0,Intel Core i3 Processor,  Windows 11  ,512,DELL,DDR4 ,8,15.6
214,4.5,67990.0,AMD Ryzen 7 Octa Core Processor,  Windows 11  ,512,ASUS,DDR4 ,16,15.6
215,4.5,79990.0,Intel Core i5 Processor,  Windows 11  ,512,MSI,DDR4 ,16,15.6
216,4.2,36990.0,Intel Core i3 Processor,  Windows 11  ,256,Lenovo,DDR4 ,8,15.6
217,4.1,39990.0,Intel Core i5 Processor,Windows 11  ,512,RedmiBook,DDR4 ,8,15.6
218,4.5,67990.0,AMD Ryzen 7 Octa Core Processor,  Windows 11  ,512,ASUS,DDR4 ,16,15.6
219,4.5,79990.0,Intel Core i5 Processor,  Windows 11  ,512,MSI,DDR4 ,16,15.6
220,4.3,196990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR5 ,16,15.6
221,4.2,38705.0,AMD Ryzen 5 Quad Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
222,4.3,89990.0,Intel Core i5 Processor,  Windows 11  ,512,ASUS,LPDDR5 ,16,15.6
223,4.7,241990.0,Intel Core i9 Processor,  Windows 11  ,1000,ASUS,DDR5 ,32,15.6
224,4.3,43490.0,Intel Core i5 Processor,Windows 11  ,512,ASUS,DDR4 ,8,15.6
225,4.4,46990.0,Intel Core i3 Processor,  Windows 10  ,256,realme,DDR4 ,8,15.6
226,4.6,85990.0,AMD Ryzen 7 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
227,4.2,35590.0,AMD Ryzen 3 Dual Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
228,4.0,40990.0,AMD Ryzen 5 Quad Core Processor,  Windows 10  ,512,Vaio,DDR4 ,8,15.6
229,4.7,94990.0,Apple M1 Processor,Mac OS  ,256,APPLE,DDR4 ,8,13.3
230,4.9,150990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
231,4.2,39990.0,Intel Core i3 Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
232,4.5,114990.0,Intel Core i7 Processor,  Windows 10  ,1000,MSI,DDR4 ,16,15.6
233,4.6,121990.0,Apple M2 Processor,Mac OS  ,256,APPLE,Unified Memory ,8,13.3
234,4.0,37990.0,Intel Core i3 Processor,  Windows 10  ,512,ASUS,DDR4 ,8,15.6
235,4.1,27990.0,Intel Pentium Silver Processor,  Windows 11  ,256,ASUS,DDR4 ,8,15.6
236,4.3,194990.0,AMD Ryzen 9 Octa Core Processor,  Windows 11  ,1000,ASUS,DDR5 ,16,15.6
237,4.3,44990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
238,4.2,40190.0,AMD Ryzen 3 Dual Core Processor,  Windows 11  ,512,DELL,DDR4 ,8,15.6
239,4.1,34990.0,AMD Ryzen 3 Dual Core Processor,Windows 11  ,512,Lenovo,DDR4 ,8,15.6
240,4.2,39990.0,Intel Core i3 Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
241,4.1,39990.0,Intel Core i5 Processor,Windows 11  ,512,RedmiBook,DDR4 ,8,15.6
242,4.7,94990.0,Intel Core i7 Processor,  Windows 10  ,1000,ASUS,LPDDR4X,16,15.6
243,4.4,69990.0,Intel Core i5 Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
244,4.3,59990.0,Intel Core i5 Processor,  Windows 11  ,512,ASUS,DDR4 ,8,15.6
245,5.0,66990.0,Intel Core i5 Processor,  Windows 11  ,512,ASUS,DDR4 ,16,15.6
246,4.3,196990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR5 ,16,15.6
247,4.2,38705.0,AMD Ryzen 5 Quad Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
248,4.3,104990.0,Intel Core i7 Processor,  Windows 11  ,512,ASUS,LPDDR4X,16,13.3
249,4.3,54900.0,Intel Core i3 Processor,  Windows 11  ,256,DELL,DDR4 ,8,15.6
250,4.6,85990.0,AMD Ryzen 7 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
251,4.2,35590.0,AMD Ryzen 3 Dual Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
252,4.7,136990.0,AMD Ryzen 7 Octa Core Processor,  Windows 11  ,1000,Lenovo,DDR4 ,16,15.6
253,4.3,48184.0,AMD Ryzen 5 Dual Core Processor,  Windows 11  ,512,DELL,DDR4 ,8,15.6
254,4.5,74990.0,Intel Core i5 Processor,  Windows 11  ,512,ASUS,DDR4 ,16,15.6
255,4.8,60990.0,Intel Core i5 Processor,  Windows 11  ,512,acer,DDR4 ,8,15.6
256,4.9,150990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
257,4.2,36990.0,Intel Core i3 Processor,  Windows 11  ,256,Lenovo,DDR4 ,8,15.6
258,4.2,49990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,HP,DDR4 ,8,15.6
259,4.4,67990.0,Intel Core i5 Processor,  Windows 11  ,512,DELL,DDR4 ,8,15.6
260,4.3,194990.0,AMD Ryzen 9 Octa Core Processor,  Windows 11  ,1000,ASUS,DDR5 ,16,15.6
261,4.3,44990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
262,4.3,58000.0,Intel Core i5 Processor,  Windows 10  ,512,Lenovo,DDR4 ,8,15.6
263,4.3,29990.0,Intel Core i3 Processor,  Windows 11  ,256,Infinix,LPDDR4X,8,15.6
264,4.3,114990.0,AMD Ryzen 7 Octa Core Processor,  Windows 11  ,1000,ASUS,LPDDR5 ,16,13.4
265,4.3,33990.0,AMD Ryzen 3 Dual Core Processor,  Windows 11  ,512,HP,DDR4 ,8,15.6
266,4.1,39990.0,Intel Core i5 Processor,Windows 11  ,512,RedmiBook,DDR4 ,8,15.6
267,4.3,196990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR5 ,16,15.6
268,4.4,64990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,ASUS,DDR4 ,16,15.6
269,4.3,79990.0,Intel Core i5 Processor,  Windows 11  ,512,Lenovo,DDR4 ,16,15.6
270,4.2,38705.0,AMD Ryzen 5 Quad Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
271,4.6,85990.0,AMD Ryzen 7 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
272,4.2,28990.0,Intel Core i3 Processor,  Windows 11  ,256,Infinix,LPDDR4X,8,15.6
273,4.5,56990.0,AMD Ryzen 5 Dual Core Processor,Windows 11  ,512,ASUS,DDR4 ,8,15.6
274,4.7,81990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,HP,DDR4 ,16,13.3
275,4.5,129990.0,Intel Core i7 Processor,  Windows 10  ,1000,MSI,DDR4 ,16,15.6
276,4.2,35590.0,AMD Ryzen 3 Dual Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
277,4.9,150990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
278,4.0,38990.0,AMD Ryzen 3 Dual Core Processor,  Windows 10  ,512,DELL,DDR4 ,8,15.6
279,4.5,79990.0,AMD Ryzen 7 Octa Core Processor,  Windows 10  ,256,HP,DDR4 ,16,15.6
280,4.2,36990.0,Intel Core i3 Processor,  Windows 11  ,256,Lenovo,DDR4 ,8,15.6
281,4.2,39990.0,Intel Core i3 Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
282,4.7,139990.0,Apple M2 Processor,Mac OS  ,512,APPLE,Unified Memory ,8,13.6
283,4.1,109990.0,Intel Core i7 Processor,  Windows 11  ,1000,ASUS,DDR5 ,16,17.3
284,4.3,154990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR5 ,16,15.6
285,4.2,62990.0,Intel Core i5 Processor,  Windows 11  ,512,Lenovo,DDR4 ,16,15.6
286,4.3,194990.0,AMD Ryzen 9 Octa Core Processor,  Windows 11  ,1000,ASUS,DDR5 ,16,15.6
287,4.3,44990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
288,4.4,47990.0,Intel Core i3 Processor,Windows 11  ,512,ASUS,DDR4 ,8,15.6
289,4.6,43667.0,AMD Ryzen 3 Quad Core Processor,  Windows 11  ,512,DELL,DDR4 ,8,15.6
290,4.5,135990.0,AMD Ryzen 7 Octa Core Processor,Windows 11  ,1000,ASUS,DDR5 ,16,15.6
291,4.2,36990.0,Intel Core i3 Processor,  Windows 11  ,256,Lenovo,DDR4 ,8,15.6
292,4.4,98990.0,AMD Ryzen 7 Octa Core Processor,  Windows 11  ,512,ASUS,DDR5 ,16,15.6
293,4.2,46990.0,Intel Core i7 Processor,  Windows 11  ,512,Infinix,LPDDR4X,16,15.6
294,4.3,35990.0,Intel Core i3 Processor,  Windows 11  ,256,ASUS,DDR4 ,8,15.6
295,4.2,39990.0,Intel Core i3 Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
296,4.3,109990.0,Intel Core i7 Processor,  Windows 11  ,1000,ASUS,DDR5 ,16,17.3
297,4.3,139990.0,Apple M2 Processor,Mac OS  ,512,APPLE,Unified Memory ,8,13.6
298,4.3,74770.0,Intel Core i5 Processor,  Windows 11  ,512,DELL,DDR4 ,8,15.6
299,4.1,39990.0,Intel Core i5 Processor,Windows 11  ,512,RedmiBook,DDR4 ,8,15.6
300,4.3,40799.0,AMD Ryzen 3 Quad Core Processor,  Windows 11  ,512,HP,DDR4 ,8,15.6
301,4.5,69490.0,Intel Core i5 Processor,  Windows 10  ,512,ASUS,DDR4 ,16,15.6
302,4.2,39990.0,Intel Core i3 Processor,  Windows 11  ,512,ASUS,DDR4 ,8,15.6
303,4.2,38705.0,AMD Ryzen 5 Quad Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
304,4.8,99990.0,AMD Ryzen 5 Hexa Core Processor,Windows 11  ,512,ASUS,LPDDR5 ,16,13.3
305,4.8,241990.0,Apple M1 Pro Processor,Mac OS  ,1000,APPLE,Unified Memory ,16,16.2
306,3.9,40990.0,Intel Core i5 Processor,  Windows 11  ,512,acer,DDR4 ,8,15.6
307,4.3,196990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR5 ,16,15.6
308,4.4,60390.0,Intel Core i5 Processor,  Windows 10  ,512,HP,DDR4 ,8,15.6
309,4.4,69990.0,Intel Core i5 Processor,  Windows 10  ,256,HP,DDR4 ,8,15.6
310,4.0,44990.0,Intel Core i3 Processor,  Windows 11  ,256,ASUS,DDR4 ,8,15.6
311,4.6,85990.0,AMD Ryzen 7 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
312,4.7,44990.0,Intel Core i5 Processor,Windows 11  ,256,ASUS,DDR4 ,8,15.6
313,4.4,60390.0,Intel Core i5 Processor,  Windows 10  ,512,HP,DDR4 ,8,15.6
314,4.5,69490.0,Intel Core i5 Processor,  Windows 10  ,512,ASUS,DDR4 ,16,15.6
315,4.3,40799.0,AMD Ryzen 3 Quad Core Processor,  Windows 11  ,512,HP,DDR4 ,8,15.6
316,4.2,39990.0,Intel Core i3 Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
317,4.1,39990.0,Intel Core i5 Processor,Windows 11  ,512,RedmiBook,DDR4 ,8,15.6
318,4.3,55990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,HP,DDR4 ,16,15.6
319,4.3,74990.0,Intel Core i5 Processor,  Windows 11  ,512,Lenovo,LPDDR4X,16,15.6
320,4.3,196990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR5 ,16,15.6
321,4.2,38705.0,AMD Ryzen 5 Quad Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
322,4.4,69990.0,Intel Core i5 Processor,  Windows 10  ,256,HP,DDR4 ,8,15.6
323,4.0,44990.0,Intel Core i3 Processor,  Windows 11  ,256,ASUS,DDR4 ,8,15.6
324,4.5,59990.0,Intel Core i5 Processor,  Windows 11  ,1000,ASUS,DDR4 ,8,15.6
325,4.8,222990.0,Apple M1 Pro Processor,Mac OS  ,512,APPLE,Unified Memory ,16,16.2
326,4.6,85990.0,AMD Ryzen 7 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
327,4.2,35590.0,AMD Ryzen 3 Dual Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
328,4.3,74770.0,Intel Core i5 Processor,  Windows 11  ,512,DELL,DDR4 ,8,15.6
329,4.3,109990.0,Intel Core i7 Processor,  Windows 11  ,1000,ASUS,DDR5 ,16,17.3
330,4.9,150990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
331,4.2,36990.0,Intel Core i3 Processor,  Windows 11  ,256,Lenovo,DDR4 ,8,15.6
332,4.3,62990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,acer,DDR4 ,8,15.6
333,3.9,40990.0,Intel Core i5 Processor,  Windows 11  ,512,acer,DDR4 ,8,15.6
334,4.5,58499.0,Intel Core i5 Processor,  Windows 10  ,512,MSI,DDR4 ,8,15.6
335,4.3,65990.0,Intel Core i5 Processor,  Windows 10  ,256,Lenovo,DDR4 ,8,15.6
336,4.2,36990.0,Intel Core i3 Processor,  Windows 11  ,256,Lenovo,DDR4 ,8,15.6
337,4.1,39990.0,Intel Core i5 Processor,Windows 11  ,512,RedmiBook,DDR4 ,8,15.6
338,4.0,111990.0,Intel Core i7 Processor,  Windows 11  ,512,DELL,DDR5 ,16,15.6
339,4.3,68490.0,Intel Core i5 Processor,  Windows 11  ,512,Lenovo,DDR4 ,16,15.6
340,4.3,196990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR5 ,16,15.6
341,4.2,38705.0,AMD Ryzen 5 Quad Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
342,4.2,46990.0,Intel Core i7 Processor,  Windows 11  ,512,Infinix,LPDDR4X,16,15.6
343,4.3,83990.0,Intel Core i5 Processor,  Windows 10  ,512,ASUS,DDR4 ,8,15.6
344,4.3,54990.0,Intel Core i5 Processor,  Windows 11  ,512,acer,DDR4 ,8,15.6
345,4.0,14990.0,Intel Celeron Dual Core Processor,Chrome  ,512,ASUS,LPDDR4 ,4,11.6
346,4.6,85990.0,AMD Ryzen 7 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
347,4.2,35590.0,AMD Ryzen 3 Dual Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
348,4.7,149990.0,Apple M1 Processor,Mac OS  ,1000,APPLE,DDR4 ,8,13.3
349,3.9,63090.0,Intel Core i5 Processor,  Windows 10  ,512,DELL,DDR4 ,8,15.6
350,4.9,150990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
351,4.2,39990.0,Intel Core i3 Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
352,4.3,200000.0,Intel Core i7 Processor,  Windows 11  ,1000,MSI,DDR5 ,16,15.6
353,4.3,37390.0,Intel Core i3 Processor,  Windows 11  ,256,Lenovo,DDR4 ,8,15.6
354,4.5,63990.0,Intel Core i5 Processor,Windows 11  ,512,ASUS,LPDDR4X,8,15.6
355,4.1,43090.0,Intel Core i3 Processor,  Windows 10  ,512,DELL,DDR4 ,8,15.6
356,4.3,194990.0,AMD Ryzen 9 Octa Core Processor,  Windows 11  ,1000,ASUS,DDR5 ,16,15.6
357,4.3,44990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
358,4.1,44700.0,Intel Core i3 Processor,  Windows 10  ,256,Lenovo,DDR4 ,4,15.6
359,4.4,41150.0,Intel Core i3 Processor,  Windows 10  ,256,HP,DDR4 ,8,15.6
